ENSG	Ctrl_1	Ctrl_2	Ctrl_3	GEN9_1	GEN9_2	GEN9_3	H2O2_1	H2O2_2	H2O2_3	PNS2_1	PNS2_2	PNS2_3	PTS3_1	PTS3_2	PTS3_3
ENSG00000000003.16	286.513	90.259	72.215	104.211	127.029	233.512	76.313	98.322	80.088	60.712	67.265	73.822	119.274	81.198	85.361
ENSG00000000005.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	640.854	510.415	587.028	504.972	639.062	578.086	281.934	514.54	344.39	353.199	445.463	381.36	562.103	490.2	368.84
ENSG00000000457.14	259.76	142.849	94.973	164.791	166.018	221.015	74.532	161.96	69.765	124.925	78.977	118.479	77.924	99.779	96.941
ENSG00000000460.17	153.036	39.68	30.645	56.586	49.387	145.131	58.358	111.007	58.06	38.249	35.883	41.755	72.505	50.23	72.524
ENSG00000000938.13	44.579	22.211	54.137	18	9	3	0	37.117	12.409	13.54	0	20.366	0	6.936	0
ENSG00000000971.17	8.307	4.144	0	0	7.269	10.332	5.394	15.146	0	3.722	2.012	1.369	0	4.004	5.802
ENSG00000001036.14	1169.831	344.809	271.517	747.402	706.912	1343.945	331.02	660.689	406.971	357.663	395.799	529.854	430.11	536.957	440.311
ENSG00000001084.13	1965.154	968.758	837.744	1939.141	1894.581	2426.611	647.534	1056.459	858.316	1785.082	2424.67	2311.041	4562.986	4404.491	3989.868
ENSG00000001167.15	572.933	332	298.986	736	632	873	294	624	365.975	341.995	360	384	420	445	433.987
ENSG00000001460.18	505.037	525.429	458.067	517.378	476.102	378.478	475.968	611.66	532.402	396.337	545.587	474.741	519.903	563.785	507.903
ENSG00000001461.17	2725.18	1999.436	1806.644	2622.94	2378.298	2569.896	1477.257	2374.83	1629.029	1601.157	1807.254	1873.275	1810.595	1687.652	1517.296
ENSG00000001497.18	1070.256	1330.495	1231.687	1884.942	1696.173	1251.52	1476.14	1985.727	1534.578	1112.387	1366.113	1237.82	1408.377	1495.8	1412.953
ENSG00000001561.7	16	2	1	18	16	32	8	15	12	15	18	9	28	16	11
ENSG00000001617.12	4727.493	7976.23	7168.361	3810.123	3071.7	2021.54	3555.068	4108.151	4499.041	4706.729	5831.284	4423.584	4398.212	4142.954	3963.984
ENSG00000001626.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629.10	1172.26	557.275	537.596	631.385	684.552	879.971	433.635	776.79	545.737	472.222	491.367	569.906	551.212	433.185	454.318
ENSG00000001630.18	1169.707	932.216	762.423	1632.639	1337.897	1557.317	989.841	1570.772	1221.262	764.877	968.002	1003.184	1161.228	1109.365	991.915
ENSG00000001631.17	227.018	116.462	70.45	106.606	81.021	166.094	46.821	112.087	86.109	67.302	64.575	96.466	80.038	109.183	108.989
ENSG00000002016.18	238.027	134.227	125.297	135.007	86.351	140.465	112.679	162.343	93.495	104.891	126.235	108.878	172.711	96.687	100.911
ENSG00000002079.15	7	4	10	45	38	50	59	80	82	32	25	14	29	30	32
ENSG00000002330.14	1006.029	1973.985	1727.41	2047.981	1630.13	1012.477	1842.868	2129.953	2182.734	1443.675	1742.797	1286.601	1802.06	1672.704	1636.764
ENSG00000002549.13	1003.467	848	728.977	1015.988	921.584	874.934	892.541	1613.886	1023.095	878.556	868.137	1134.88	883.735	890.118	940.586
ENSG00000002587.10	8.874	28.643	16.115	71.274	71.664	50.191	29.204	38.493	30.404	20.13	32.652	28.146	41.497	23.958	34.216
ENSG00000002726.21	3.632	12	19	30.176	11.638	14.639	21.054	28.143	30.122	52	74.829	43	47	30.577	37
ENSG00000002745.13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000002746.15	2.304	11.964	3.898	16.093	2.993	9.796	6	10.131	10.926	11.127	14.452	6.714	11.122	18.121	10.056
ENSG00000002822.16	1049.621	1927.69	1535.335	1593.943	1425.43	895.911	1200.766	1528.766	1500.451	1244.098	1380.789	1237.368	1532.229	1485.581	1495.817
ENSG00000002834.19	10240.857	11471.307	10296.7	18910.375	15800.757	12833.979	10402.704	14457.987	11962.425	10369.671	12415.206	11337.742	13921.961	13199.854	12803.41
ENSG00000002919.15	387.98	373.034	305.726	685.954	488.744	447.387	323.26	487.071	390.545	354.054	274.729	363.157	444.843	384.078	353.423
ENSG00000002933.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056.8	2212.439	967.161	822.407	1378.302	1288.664	2197.654	616.599	1209.782	832.086	826.835	877.18	947.984	866.487	812.277	1009.897
ENSG00000003096.15	138	50.323	30	31	68	78	40	79	36	37	58	44	35	40.001	51
ENSG00000003137.9	59	58.638	65.176	188.503	155.827	99.136	205.685	243.057	238.489	149.547	172.464	150.534	207.011	257.929	268
ENSG00000003147.19	158.673	115.307	109.204	81.531	69.263	88.659	17.968	97.197	55.364	78.672	91.928	95.091	103.972	70.311	65.121
ENSG00000003249.15	807.784	1285.469	1203.234	1316.468	1048.299	697.684	1250.124	1376.77	1487.397	958.178	1250.125	976.296	1263.152	1154.408	1132.324
ENSG00000003393.16	413.335	276.352	243.017	475.381	482.09	367.325	269.188	355.228	263.015	297.501	397.563	369.871	270.782	316.404	335.077
ENSG00000003400.16	236.425	153.004	136.876	234.858	149.777	194.436	116.76	170.214	132.244	141.645	176.965	208.03	171.239	151.827	176.146
ENSG00000003402.21	1714.332	1376.623	1334.337	1399.119	1110.525	1250.167	1171.005	1385.863	1110.735	1172.319	1400.62	1369.694	1198.392	1230.17	1113.502
ENSG00000003436.16	11.801	7	1	9.092	16.57	16.306	3	4.08	6.907	0	4.107	4	5.263	2.126	4.119
ENSG00000003509.16	355.455	164.847	142.354	142.775	167.025	206.331	105.023	140.782	98.064	122.75	167.587	156.754	157.987	131.319	112.842
ENSG00000003756.17	837.023	440.176	417.854	796.01	612.755	696.037	340.961	614.019	322.863	440.784	373.117	601.123	376.023	416.769	355.52
ENSG00000003987.14	2.189	0	2.636	4.339	0	0	3.484	0	2.587	0	0	1.117	2	2	3
ENSG00000003989.18	50	22	25	70	58	59	33	49	27	12	22	21	33	21	29
ENSG00000004059.11	2212.347	3768.756	3349.64	4133.623	3218.38	1993.381	3114.642	3786.992	3931.937	2910.662	3849.157	2745.417	3901.049	3564.744	3662.678
ENSG00000004139.14	93.008	65.996	42.145	47.763	44.279	28.068	75.937	35.224	46.113	30.681	29.38	48.295	27.024	45.398	32.472
ENSG00000004142.12	3353.072	3757.397	3333.619	5353.019	4402.505	3512.421	3672.071	5089.194	4106.943	3104.325	3726.763	3491.652	4180.74	4163.701	4141.161
ENSG00000004399.13	489.12	862.713	837.912	892.659	693.231	490.28	886.275	1034.314	969.625	672.042	788.562	675.97	1002.607	1053.733	1062.311
ENSG00000004455.18	3927.455	3557.561	3185.518	5186.927	4397.932	4111.674	3437.026	5772.096	3791.679	2863.377	3111.652	3458.745	3678.997	3887.755	3942.277
ENSG00000004468.13	7.157	1.109	5.981	6.005	5.002	13.001	4.334	1.29	7.864	6.001	9.622	2.119	2.998	2.325	0
ENSG00000004478.8	3742.966	4099.573	3520.433	5308.701	4525.869	3785.07	3947.722	5606.711	4502.569	3028.442	3511.119	3346.604	4194.7	4297.052	4034.892
ENSG00000004487.18	3444.442	2509.191	2409.426	2946.902	2592.916	2684.451	2398.022	3434.607	2739.575	2512.163	2386.471	2980.519	2815.877	3171.846	2693.899
ENSG00000004534.15	904.594	387.868	245.896	603.803	505.825	857.505	323.867	508.928	280.145	280.687	396.654	446.704	365.535	378.921	281.044
ENSG00000004660.15	1135.85	1580.611	1336	744.2	564.079	442.988	872.741	1125.718	1051.717	900.286	1247.216	932.659	1151.164	999.835	992.485
ENSG00000004700.16	968.765	240.682	179.572	285.085	309.105	655.547	183.141	247.698	192.901	172.77	265.376	197.616	316.701	281.115	167.344
ENSG00000004766.17	63.068	8.493	0	23.509	35.52	136.06	23.8	43.647	14.356	18.497	4.424	37.695	33.293	2.146	2.145
ENSG00000004776.13	63.988	148.873	70.204	19.686	26.011	7.527	30	62	24	62	72.665	35.29	36.102	55.709	38.07
ENSG00000004777.19	705.407	950.64	975.898	473.82	311.332	326.683	830.825	695.276	855.306	662.835	878.585	733.297	750.565	779.481	728.965
ENSG00000004779.10	990.272	1088.935	1017.519	1493.209	1157.784	989.365	1122.721	1415.894	1363.233	775.434	1078.827	834.862	1255.484	1167.623	1177.373
ENSG00000004799.8	0	3.711	0	0	3.717	3.561	1.118	7.399	4.361	4	10	10	1	0	0
ENSG00000004809.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838.14	60.312	65.595	32.228	7.602	13.589	6.042	32.45	27.398	30.537	33.9	63.675	19.286	0	44.919	39.051
ENSG00000004846.17	19.455	18.094	22.207	26.536	17.855	20.779	20.903	28.581	25.665	16.739	28.342	26.787	22.606	31.047	24.198
ENSG00000004848.8	0	1	0	0	0	1	2	4	5	0	4	1	1	1	1
ENSG00000004864.14	301.39	135.263	95.319	483.392	337.459	448.283	127.245	321.61	162.099	176.482	184.224	211.754	182.757	198.825	203.044
